date	adjclose_IBM	time	IBM
29jul2003	64.810204	644	-.009005798
30jul2003	64.144669	645	-.010322074
31jul2003	64.374435	646	.00357561
01aug2003	64.390282	647	.00024612725
04aug2003	64.279358	648	-.0017241642
05aug2003	63.265217	649	-.015902871
06aug2003	63.312847	650	.00075258402
07aug2003	64.059105	651	.011717906
08aug2003	64.209938	652	.0023518254
11aug2003	64.321083	653	.0017294665
12aug2003	64.710098	654	.0060298042
13aug2003	64.463989	655	-.0038105058
14aug2003	64.749786	656	.0044236397
15aug2003	64.932388	657	.0028161472
18aug2003	66.305817	658	.020931076
19aug2003	65.773911	659	-.0080543626
20aug2003	65.932693	660	.0024111629
21aug2003	65.773911	661	-.0024111629
22aug2003	65.869179	662	.0014473721
25aug2003	65.067345	663	-.01224783
26aug2003	65.496048	664	.006566999
27aug2003	65.099098	665	-.006079108
28aug2003	65.019714	666	-.0012201749
29aug2003	65.10704	667	.0013421692
02sep2003	68.084137	668	.044711556
03sep2003	68.536652	669	.0066244137
04sep2003	69.791	670	.018136404
05sep2003	69.028862	671	-.01098036
08sep2003	70.735733	672	.024426157
09sep2003	70.989777	673	.0035850124
10sep2003	69.735428	674	-.017827395
11sep2003	69.798935	675	.0009102716
12sep2003	70.418175	676	.0088326428
15sep2003	70.251457	677	-.0023703426
16sep2003	71.680466	678	.020137215
17sep2003	71.950386	679	.0037585332
18sep2003	73.038017	680	.015003291
19sep2003	74.054199	681	.013817157
22sep2003	72.553741	682	-.020469699
23sep2003	72.514046	683	-.00054727163
24sep2003	70.9739	684	-.021468075
25sep2003	70.981842	685	.00011189684
26sep2003	70.696037	686	-.0040345769
29sep2003	71.013588	687	.0044817165
30sep2003	70.124435	688	-.012599926
01oct2003	71.728096	689	.022611214
02oct2003	71.513748	690	-.0029928125
03oct2003	71.958321	691	.006197358
06oct2003	72.387024	692	.0059399847
07oct2003	72.79985	693	.0056868452
08oct2003	73.561989	694	.010414535
09oct2003	73.395264	695	-.0022690303
10oct2003	73.569923	696	.0023768868
13oct2003	73.990685	697	.0057029077
14oct2003	73.609619	698	-.0051634884
15oct2003	73.625496	699	.00021566554
16oct2003	70.878632	700	-.038022377
17oct2003	70.838943	701	-.00056010147
20oct2003	70.656342	702	-.0025810334
21oct2003	70.600769	703	-.00078682782
22oct2003	70.227638	704	-.0052990965
23oct2003	69.981537	705	-.0035104926
24oct2003	70.195885	706	.0030582387
27oct2003	70.275269	707	.0011302514
28oct2003	71.37085	708	.015469579
29oct2003	70.926262	709	-.0062487447
30oct2003	70.75161	710	-.002465483
31oct2003	71.037415	711	.0040314142
03nov2003	71.19619	712	.0022326002
04nov2003	70.767487	713	-.0060396381
05nov2003	70.251457	714	-.007318615
06nov2003	71.054741	715	.011369527
07nov2003	70.195793	716	-.012162196
10nov2003	71.539894	717	.01896687
11nov2003	71.070648	718	-.0065808264
12nov2003	72.128441	719	.014774003
13nov2003	72.446571	720	.0044009127
14nov2003	71.778496	721	-.0092644133
17nov2003	71.420601	722	-.004998574
18nov2003	70.74456	723	-.009510709
19nov2003	71.102463	724	.0050463276
20nov2003	70.299179	725	-.011361853
21nov2003	70.490059	726	.0027115701
24nov2003	71.30925	727	.011554359
25nov2003	71.126328	728	-.0025684941
26nov2003	71.508087	729	.0053529935
28nov2003	72.00914	730	.0069825053
01dec2003	72.382942	731	.005177611
02dec2003	72.176163	732	-.0028608316
03dec2003	71.81826	733	-.0049710711
04dec2003	72.70903	734	.012326824
05dec2003	72.088669	735	-.0085687153
08dec2003	72.534058	736	.0061593391
09dec2003	72.080719	737	-.0062696235
10dec2003	72.955582	738	.012064197
11dec2003	73.488457	739	.0072775567
12dec2003	73.735001	740	.0033492504
