date	DJIA_returns
23aug1974	-.025629738
26aug1974	
27aug1974	-.024404231
28aug1974	-.0073684044
29aug1974	-.014764647
30aug1974	.032561906
03sep1974	
04sep1974	-.023381934
05sep1974	.034520715
06sep1974	.010558876
09sep1974	
10sep1974	-.0072212615
11sep1974	-.0052556121
12sep1974	-.020024396
13sep1974	-.022933694
16sep1974	
17sep1974	.013953758
18sep1974	.0048127528
19sep1974	.033397801
20sep1974	-.0048928615
23sep1974	
24sep1974	-.014600122
25sep1974	-.0063647521
26sep1974	-.018588552
27sep1974	-.02544718
30sep1974	
01oct1974	-.00503013
02oct1974	-.0054544471
03oct1974	-.023413021
04oct1974	-.0052040145
07oct1974	
08oct1974	-.0081475135
09oct1974	.046034172
10oct1974	.026676584
11oct1974	.015449059
14oct1974	
15oct1974	-.022675309
16oct1974	-.024772806
17oct1974	.01414542
18oct1974	.0052667195
21oct1974	
22oct1974	-.010445246
23oct1974	-.027266912
24oct1974	-.013689573
25oct1974	-.00011003548
28oct1974	
29oct1974	.039442778
30oct1974	.020550573
31oct1974	-.011221229
01nov1974	-.00036067062
04nov1974	
05nov1974	.026308248
06nov1974	-.0083788428
07nov1974	.0041907486
08nov1974	-.0071243006
11nov1974	
12nov1974	-.020213664
13nov1974	0
14nov1974	-.0011839408
15nov1974	-.016524047
18nov1974	
19nov1974	-.017547276
20nov1974	-.0072896942
21nov1974	-.0016746892
22nov1974	.010997979
25nov1974	
26nov1974	.0086561022
27nov1974	.0032832802
29nov1974	
02dec1974	
03dec1974	-.010686787
04dec1974	.0033968312
05dec1974	-.019533414
06dec1974	-.016245481
09dec1974	
10dec1974	.023735778
11dec1974	.002488995
12dec1974	.0017118447
13dec1974	-.0060547735
16dec1974	
17dec1974	.018085992
18dec1974	.0099082636
19dec1974	.0015563988
20dec1974	-.0098927785
23dec1974	
24dec1974	.014747261
26dec1974	
27dec1974	-.0042754514
30dec1974	
31dec1974	.021304777
02jan1975	
03jan1975	.0039476436
06jan1975	
07jan1975	.0062422315
08jan1975	-.0090710688
09jan1975	.015398591
10jan1975	.020751433
13jan1975	
14jan1975	-.0084121525
15jan1975	.0072038379
16jan1975	.0035901372
17jan1975	-.017087838
